variable,2023,2024,2025,share_2023,share_2024,share_2025,total_2023_2025
合计,267671205224,288546909738,304907172545,1.0,1.0,1.0,861125287507
福州,58145784313,62990614039,66851946038,0.21722838758222365,0.21830285445162226,0.21925343861215202,187988344390
厦门,34832983759,39146844119,41915066325,0.13013347375131404,0.13566890788934546,0.13746828575773803,115894894203
莆田,14067397175,14899696056,15991380783,0.05255476457853482,0.05163699749731818,0.0524467189457142,44958474014
泉州,58226789760,61108963047,63692576032,0.21753101799378477,0.21178172763134706,0.2088916948078677,183028328839
漳州,30469894691,33571910210,34480200755,0.11383329284710077,0.11634818837769992,0.11308425599568737,98522005656
龙岩,13811880822,14230895887,14827073811,0.05160017421538324,0.049319176212705325,0.04862815684931693,42869850520
三明,14920813265,15647673050,15867397807,0.05574306452766764,0.054229217232678234,0.052040093627703024,46435884122
南平,12895622930,13819635819,14461292606,0.04817710190085007,0.047893896460538085,0.047428509094405505,41176551355
宁德,30300038496,33130677504,36820238377,0.11319872255457394,0.114819034222486,0.12075884627333866,100250954377
大工业电量,138823406503,152570608457,158214570568,0.5186340696857026,0.5287549556345407,0.5188942236006264,449608585528
非普工业,21052002632,21178441913,20889000204,0.07864873853122409,0.07339687655026346,0.0685093762460346,63119444749
居民生活,63265640036,67521514791,72703689029,0.23635579323168626,0.2340053298519447,0.23844532229975654,203490843856
非居照明,7919755453,8375585585,8751194464,0.029587625782804584,0.029026772778835214,0.028701176134872483,25046535502
商业用电,29497924145,31491780127,33203678303,0.11020208214146432,0.10913920428257046,0.10889766228145914,94193382575
农业,6348421866,6689543538,7064722704,0.023717238694716297,0.02318355633776876,0.023170077125546615,20102688108
抽水蓄能,3944801998,5518390824,6608281788,0.014737491074913352,0.019124761478162035,0.021673093921805695,16071474610
黑色金属冶炼,15620270010,17408079092,19140215605,0.058356183650490966,0.060330152583531395,0.06277391064710088,52168564707
非金属矿物制品业,14143789296,14003347473,13954204512,0.052840159942358404,0.04853057510030175,0.04576541901434134,42101341281
化学制品制造业,10932321084,14347448124,16786281793,0.040842350131951304,0.04972310442356653,0.055053745219858945,42066051001
纺织业,12177746769,13197454337,12824319149,0.0454951691901603,0.045737638808827516,0.042059749011339874,38199520255
有色金属冶炼,12393076708,11302034040,10417501849,0.046299626056634985,0.039168792520641524,0.03416614231159985,34112612597
通信设备制造业,10358180862,11770982633,12539964874,0.038697404352223026,0.04079399999011609,0.04112715607616373,34669128369
金属制品业,6697895684,7169903893,7273341155,0.0250228472591771,0.024848312877480676,0.023854280285671395,21141140732
橡胶和塑料,1702253834,1832023082,1850740066,0.006359495533243754,0.0063491343007744325,0.006069847588537318,5385016982
服饰业,4904345409,5381594429,5284594412,0.018322274915211035,0.018650674283382473,0.01733181403340083,15570534250
造纸和纸制品业,3269934213,3282092488,3076296484,0.012216234504057183,0.011374554282976495,0.01008928867865836,9628323185
机械,19834796606,22348800684,24248661794,0.07410134605028322,0.07745291988845995,0.079528013695451,66432259084
电子,10711494852,12167034690,12995807008,0.04001735951775654,0.04216657423587604,0.042622175462540164,35874336550
石化,15149569717,18579324631,21294346316,0.056597681862425656,0.06438926914126368,0.06983878450041137,55023240664
食品,8009485297,8254623133,8372379350,0.02992284990198061,0.028607560346063595,0.027458781241901927,24636487780
服装,9462036944,10382594493,10146431859,0.0353494763700179,0.035982345132122104,0.03327711766932124,29991063296
农林牧渔业,6037918695,6412913449,6767013468,0.022557221610547098,0.022224855760274515,0.02219368410233539,19217845612
制造业,140627582745,152218229221,158655105032,0.5253743398634012,0.5275337357077012,0.520339038625222,451500916998
建筑业,2945832727,2693939138,2486726848,0.011005415111927288,0.009336225920582865,0.008155684981903777,8126498713
交通仓储和邮政业,5524345726,5876307226,6226923201,0.020638550647900152,0.020365171234499355,0.020422357234252973,17627576153
信息传输,4288772554,4446924873,4541111644,0.016022539855980966,0.015411445151285102,0.01489342348392869,13276809071
批发和零售业,15019546585,16699766002,18223168992,0.05611192497314356,0.05787539369998228,0.059766285062744846,49942481579
住宿和餐饮业,4076205634,4362490044,4560324946,0.015228405425936037,0.015118824346312119,0.014956437095053775,12999020624
金融业,661799103,669648100,673130913,0.0024724329329565914,0.0023207599090492395,0.00220765850596924,2004578116
房地产业,3756179809,4078005982,4368090131,0.01403281240451938,0.014132904717998267,0.014325967128094802,12202275922
租赁和商务服务,2376260750,2611039581,2838733438,0.008877535960625394,0.009048925817194919,0.009310156315135692,7826033769
公共服务及管理组织,15092106353,16240254634,17296255835,0.05638300294710523,0.056282892264367404,0.056726300305209504,48628616822
化学纤维制造业,3850110536,4086996230,4365970844,0.014383730714620738,0.014164061690041956,0.014319016530697205,12303077610
皮革行业,4557691556,5001000063,4861837437,0.017027201533261326,0.01733167084527399,0.01594530360312354,14420529056
工业,151140861265,164228479329,171814683655,0.5646511776958532,0.569156950868471,0.5634983336761046,487184024249
